date,YR,MTH,DAY,DIR,SPD,TEMPc,DEWPc,RelHUM,SD,PRCP,Mean Daily Max 8-hr Ozone Concentration,Total_Count,Tcount_abvMedian,GBTpredict2014,GBTacc,color0,color1
2014-03-03,2014,3,3,334.64285714285717,13.571428571428573,-3.5714285714285725,-13.809523809523812,48.80952380952381,0.0,0.04,0.02875,353.0,1,1,True,#7a7a7a,#f00
2014-03-04,2014,3,4,205.35714285714286,8.107142857142858,-6.726190476190474,-19.00793650793652,38.59126984126985,0.0,0.0,0.01925,321.0,1,1,True,#909090,#f00
2014-03-05,2014,3,5,135.35714285714286,4.928571428571429,-0.4761904761904762,-14.226190476190474,31.25000000000001,0.0,0.0,0.02925,304.0,1,1,True,#9b9b9b,#f00
2014-03-06,2014,3,6,157.5,11.785714285714285,-4.285714285714287,-14.583333333333325,48.51190476190477,0.0,0.0,0.03025,305.0,1,1,True,#9a9a9a,#f00
2014-03-07,2014,3,7,43.92857142857143,9.857142857142858,-0.8531746031746028,-7.579365079365082,66.36904761904759,0.0,0.0,0.02225,265.0,0,1,False,#b5b5b5,#f00
2014-03-08,2014,3,8,285.17241379310343,8.620689655172415,6.3409961685823735,-1.9923371647509576,58.33333333333333,0.0,0.0,0.0405,249.0,0,1,False,#c0c0c0,#f00
2014-03-09,2014,3,9,308.57142857142856,12.464285714285715,6.13095238095238,-6.488095238095237,36.90476190476192,0.0,0.0,0.04225,298.0,1,1,True,#9f9f9f,#f00
2014-03-10,2014,3,10,260.0,8.928571428571429,5.912698412698412,-6.706349206349207,36.904761904761905,0.0,0.0,0.02575,400.0,1,1,True,#5a5a5a,#f00
2014-03-11,2014,3,11,206.07142857142856,7.4642857142857135,10.932539682539685,0.3571428571428572,47.12301587301586,0.0,0.0,0.041250000000000016,349.0,1,1,True,#7d7d7d,#f00
2014-03-12,2014,3,12,116.55172413793105,5.241379310344827,11.398467432950193,5.0,68.00766283524904,0.0,0.35,0.0315,371.0,1,1,True,#6e6e6e,#f00
2014-03-13,2014,3,13,296.7857142857143,23.42857142857143,-1.567460317460318,-11.765873015873014,49.0079365079365,0.0,0.0,0.03175,328.0,1,1,True,#8b8b8b,#f00
2014-03-14,2014,3,14,265.7142857142857,10.714285714285714,-0.5952380952380951,-15.337301587301592,26.289682539682538,0.0,0.0,0.02425,352.0,1,1,True,#7b7b7b,#f00
2014-03-15,2014,3,15,225.35714285714286,14.714285714285715,9.821428571428571,-3.90873015873016,31.34920634920636,0.0,0.0,0.0405,302.0,1,1,True,#9c9c9c,#f00
2014-03-16,2014,3,16,316.42857142857144,14.678571428571427,3.4523809523809517,-11.269841269841269,26.38888888888889,0.0,0.0,0.035,319.0,1,1,True,#919191,#f00
2014-03-17,2014,3,17,108.27586206896551,13.724137931034482,-1.7816091954022988,-16.130268199233722,28.2567049808429,0.0,0.0,0.02875,422.0,1,1,True,#4b4b4b,#f00
2014-03-18,2014,3,18,109.28571428571428,8.035714285714286,0.21825396825396806,-12.440476190476188,36.70634920634921,0.0,0.0,0.03333333333333333,446.0,1,1,True,#3b3b3b,#f00
2014-03-19,2014,3,19,86.89655172413794,8.620689655172415,3.160919540229885,-1.3026819923371653,77.68199233716473,0.0,0.92,0.024333333333333332,362.0,1,1,True,#747474,#f00
2014-03-20,2014,3,20,275.0,14.107142857142858,7.9563492063492065,1.6468253968253963,68.45238095238095,0.0,0.0,0.036000000000000004,350.0,1,1,True,#7c7c7c,#f00
2014-03-21,2014,3,21,275.35714285714283,14.964285714285715,7.103174603174603,-7.142857142857145,28.76984126984127,0.0,0.0,0.04025,348.0,1,1,True,#7d7d7d,#f00
2014-03-22,2014,3,22,160.35714285714286,11.535714285714285,10.019841269841269,-2.9365079365079363,35.218253968253954,0.0,0.0,0.0405,325.0,1,1,True,#8d8d8d,#f00
2014-03-23,2014,3,23,312.85714285714283,12.392857142857142,5.694444444444442,-7.063492063492067,36.210317460317455,0.0,0.0,0.035750000000000004,374.0,1,1,True,#6c6c6c,#f00
2014-03-24,2014,3,24,340.68965517241384,14.344827586206891,-1.8199233716475087,-16.03448275862069,28.927203065134112,0.0,0.0,0.032,429.0,1,0,False,#474747,#00f
2014-03-25,2014,3,25,163.92857142857142,6.25,-0.07936507936507968,-12.678571428571427,37.003968253968246,0.0,0.0,0.032,400.0,1,1,True,#5a5a5a,#f00
2014-03-26,2014,3,26,245.0,20.0,1.111111111111111,-11.746031746031745,35.714285714285715,0.0,0.0,0.038000000000000006,367.0,1,1,True,#707070,#f00
2014-03-27,2014,3,27,275.7142857142857,10.964285714285712,-0.4166666666666669,-15.099206349206352,26.58730158730159,0.0,0.0,0.027000000000000003,302.0,1,1,True,#9c9c9c,#f00
2014-03-28,2014,3,28,221.78571428571428,9.285714285714286,7.896825396825394,0.5952380952380956,63.492063492063494,0.0,0.04,0.01875,354.0,1,1,True,#797979,#f00
2014-03-29,2014,3,29,95.0,7.928571428571429,10.178571428571429,7.123015873015873,84.7222222222222,0.0,1.81,0.02825,296.0,1,1,True,#a0a0a0,#f00
2014-03-30,2014,3,30,145.33333333333334,16.166666666666668,7.8888888888888875,6.592592592592593,93.51851851851843,0.0,0.35,0.03,344.0,1,1,True,#808080,#f00
2014-03-31,2014,3,31,297.0,17.5,6.759259259259258,1.407407407407408,73.24074074074075,0.0,0.16,0.035500000000000004,409.0,1,0,False,#545454,#00f
2014-04-01,2014,4,1,279.64285714285717,7.9642857142857135,8.214285714285714,-1.4880952380952377,51.48809523809522,0.0,0.0,0.03666666666666667,358.0,1,1,True,#777,#f00
2014-04-02,2014,4,2,228.92857142857144,3.1071428571428568,7.460317460317461,3.2142857142857144,78.7698412698413,0.0,0.0,0.011333333333333334,332.0,1,1,True,#888,#f00
2014-04-03,2014,4,3,130.0,4.535714285714286,10.952380952380953,0.6547619047619042,48.51190476190475,0.0,0.07,0.033,329.0,1,1,True,#8a8a8a,#f00
2014-04-04,2014,4,4,91.78571428571428,7.428571428571429,7.063492063492062,2.9166666666666656,79.26587301587303,0.0,0.21,0.0295,329.0,1,1,True,#8a8a8a,#f00
