Date,Borough,Total Count ,Count (Age group 0 - 4) ,Count (Age group 5 - 17) ,Count (Age group 18 - 64) ,Count (Age group 65+) 
02/11/06,Bronx,75,17,16,33,9
02/11/06,Brooklyn,85,17,21,44,3
02/11/06,Manhattan,50,8,10,28,4
02/11/06,Queens,23,6,6,9,2
02/11/06,Staten Island,9,0,4,5,0
02/11/06,Unknown,2,1,0,0,1
02/12/06,Bronx,53,12,20,16,5
02/12/06,Brooklyn,61,10,16,32,3
02/12/06,Manhattan,33,2,4,24,3
02/12/06,Queens,23,5,4,12,2
02/12/06,Staten Island,4,0,0,2,2
02/12/06,Unknown,5,1,2,2,0
02/13/06,Bronx,97,16,30,47,4
02/13/06,Brooklyn,107,18,21,65,3
02/13/06,Manhattan,53,9,20,21,3
02/13/06,Queens,29,6,3,17,3
02/13/06,Staten Island,7,0,1,5,1
02/13/06,Unknown,7,2,2,2,1
02/14/06,Bronx,89,22,23,40,4
02/14/06,Brooklyn,118,30,26,58,4
02/14/06,Manhattan,57,12,11,27,7
02/14/06,Queens,31,10,8,11,2
02/14/06,Staten Island,7,0,1,3,3
02/14/06,Unknown,8,1,1,4,2
02/15/06,Bronx,88,19,18,41,10
02/15/06,Brooklyn,102,23,30,48,1
02/15/06,Manhattan,50,12,14,21,3
02/15/06,Queens,38,6,13,16,3
02/15/06,Staten Island,12,0,4,5,3
02/15/06,Unknown,10,1,4,4,1
02/16/06,Bronx,85,18,18,43,6
02/16/06,Brooklyn,102,21,32,47,2
02/16/06,Manhattan,51,13,12,23,3
02/16/06,Queens,36,7,6,19,4
02/16/06,Staten Island,11,0,0,4,7
02/16/06,Unknown,11,1,0,8,2
02/17/06,Bronx,69,18,9,33,9
02/17/06,Brooklyn,92,17,22,50,3
02/17/06,Manhattan,40,6,11,20,3
02/17/06,Queens,26,4,5,14,3
02/17/06,Staten Island,5,0,1,1,3
02/17/06,Unknown,14,4,2,6,2
02/18/06,Bronx,78,14,21,38,5
02/18/06,Brooklyn,86,29,17,37,3
02/18/06,Manhattan,53,8,11,28,6
02/18/06,Queens,30,5,6,18,1
02/18/06,Staten Island,5,1,0,3,1
02/18/06,Unknown,8,1,0,7,0
02/19/06,Bronx,94,17,27,47,3
